,,,,,
primary_sample,primary_virus_count,,,THP1_sample,THP1_virus_count
NA,NA,,,THP1_MDM_12hpi,2
NA,NA,,,THP1_MDM_12hpi,2
NA,NA,,,THP1_MDM_12hpi,2
NA,NA,,,THP1_MDM_12hpi,2
NA,NA,,,THP1_MDM_12hpi,2
NA,NA,,,THP1_MDM_12hpi,2
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,0
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
NA,NA,,,THP1_PDGFR_12hpi,1
